season,episode,speaker,role,utterance_count
3,8,TELEPHONE OPERATOR,,1
3,8,THEME SONG,,1
3,9,ABBY,instructor,11
3,9,ANNOUNCER,announcer,8
3,9,BROOKE,dancer,1
3,9,CHRISTI,mom,5
3,9,KELLY,mom,7
3,9,MELISSA,mom,3
3,10,ABBY,instructor,5
3,10,ANNOUNCER,announcer,9
3,10,BLACK PATSY,,1
3,10,HOLLY,mom,2
3,10,JANEANE,,1
3,10,NIYALA,,2
3,11,ABBY,instructor,24
3,11,ANNOUNCER,announcer,8
3,11,CHRISTI,mom,9
3,11,GIANNA,assistant,3
3,11,HOLLY,mom,10
3,11,JILL,mom,8
3,11,KELLY,mom,4
3,11,MELISSA,mom,4
3,11,NICK,,1
3,11,PAIGE,dancer,1
3,12,ABBY,instructor,70
3,12,ANNOUNCER,announcer,7
3,12,CHRISTI,mom,20
3,12,GIRLS,,1
3,12,HOLLY,mom,18
3,12,JILL,mom,25
3,12,KELLY,mom,25
3,12,LOUIE,,3
3,12,MADDIE,dancer,1
3,12,MELISSA,mom,27
3,12,PAIGE,dancer,1
3,12,PHOTOGRAPHER,,2
3,12,SHANGELA,,1
3,12,THEME SONG,,1
3,13,ABBY,instructor,46
3,13,ALL,,5
3,13,ANNOUNCER 1,,1
3,13,ANNOUNCER 2,,9
3,13,ANTHONY,choreographer,10
3,13,CATHY,coach,17
3,13,CHLOE,dancer,1
3,13,CHRISTI,mom,17
3,13,HOLLY,mom,11
3,13,JILL,mom,9
3,13,KELLY,mom,10
3,13,KENDALL,dancer,3
3,13,MACKENZIE,dancer,1
3,13,MELISSA,mom,11
3,13,NIA,dancer,1
3,13,PAIGE,dancer,1
3,13,RICK,,2
3,13,VIVI-ANNE,dancer,2
3,14,ABBY,instructor,45
3,14,ALLISON'S INVENTION,,4
3,14,BROOKE,dancer,1
3,14,CATHY,coach,3
3,14,CHLOE,dancer,4
3,14,CHRISTI,mom,13
3,14,CHRISTI LUKASIAK,,1
3,14,COMPETITION EMCEE,,12
3,14,DIANE,,2
3,14,GIA,,2
3,14,HOLLY,mom,7
3,14,HOLLY FRAZIER,,1
3,14,JILL,mom,17
3,14,KELLY,mom,13
3,14,KELLY HYLAND,,2
3,14,KENDALL,dancer,1
3,14,MACKENZIE,dancer,1
3,14,MADDIE,dancer,1
3,14,MELISSA,mom,8
3,14,MELISSA ZIEGLER,,1
3,14,MELODY SWEET,,2
3,14,MELODY SWEETS,,3
3,14,MIA SABLE,,1
3,14,RACHELLE,,7
3,14,THEME SONG,,1
3,14,WHITE WIDOW,,1
3,15,ABBY,instructor,35
3,15,ANNOUNCER,announcer,9
3,15,CATHY,coach,10
3,15,CHRISTI,mom,16
3,15,HOLLY,mom,2
3,15,JILL,mom,8
3,15,JOHN,,3
3,15,KELLY,mom,8
3,15,KRISTIE,mom,13
3,15,MELISSA,mom,8
3,15,PAIGE,dancer,1
3,15,TAXIDERMIST,,1
3,16,ABBY,instructor,37
3,16,ANNOUNCER,announcer,9
3,16,CHRISTI,mom,19
3,16,GIRLS,,1
3,16,HOLLY,mom,9
3,16,JILL,mom,10
3,16,KELLY,mom,7
3,16,KENDALL,dancer,1
3,16,KRISTIE,mom,8
3,16,MACKENZIE,dancer,2
3,16,MELISSA,mom,12
3,16,TRACY,,1
3,17,ABBY,instructor,8
3,17,ANNOUNCER,announcer,5
3,17,CHRISTI,mom,1
3,17,HOLLY,mom,1
3,17,JILL,mom,2
3,17,KELLY,mom,1
3,17,KRISTIE RAY,,1
3,18,ABBY,instructor,34
3,18,ANTHONY BURRELL,,9
3,18,CATHY NESBITT-STEIN,,23
3,18,CHRISTI LUKASIAK,,15
3,18,ELISABETH HASSELBECK,,1
3,18,HOLLY FRAZIER,,4
3,18,JILL VERTES,,9
3,18,KELLY HYLAND,,6
3,18,KENDALL VERTES,,1
3,18,KRISTI RAY,,17
3,18,KRISTIE RAY,,1
3,18,MACKENZIE ZIEGLER,,1
3,18,MELISSA GISONI,,25
3,18,MOM,,1
3,18,MOMS,,1
3,18,PRODUCER,,1
3,18,THEME SONG,,1
3,18,WAITER,,1
3,18,WHOOPI GOLDBERG,,2
3,19,ABBY,instructor,25
3,19,ALL,,1
3,19,ANNOUNCER,announcer,12
3,19,ANTHONY,choreographer,8
3,19,BOY,,1
3,19,CATHY,coach,6
3,19,CHILD,,1
3,19,CHLOE,dancer,1
3,19,CHRISTI,mom,13
3,19,GIRL,,1
3,19,HOLLY,mom,1
3,19,JILL,mom,12
3,19,KELLY,mom,10
3,19,KENDALL,dancer,1
3,19,KRISTIE,mom,8
3,19,MAN,,1
3,19,MELISSA,mom,13
3,19,PAIGE,dancer,1
3,19,THEME SONG,,1
3,19,WOMAN,other,2
3,20,ABBY,instructor,7
3,20,ALL,,3
3,20,ANNOUNCER,announcer,3
3,20,BROOKE,dancer,2
3,20,GIRL,,1
3,20,LINDA LEE,,1
3,20,MARYEN,,4
3,20,MELISSA,mom,6
3,20,MOM,,1
3,20,WOMAN,other,1
3,21,ABBY,instructor,2
3,21,AUDIENCE MEMBER,,1
3,21,CATHY,coach,3
3,21,CHRISTI,mom,5
3,21,HOLLY,mom,1
3,21,JEFF,staff,6
3,21,JILL,mom,4
3,21,KELLY,mom,1
3,22,ABBY,instructor,3
3,22,JEFF COLLINS,,1
3,22,NARRATOR,,1
3,23,ABBY,instructor,27
3,23,BOTH,,1
3,23,CATHY,coach,2
3,23,CHLOE,dancer,1
3,23,CHRISTI,mom,13
3,23,GROUP,,2
3,23,HOLLY,mom,6
3,23,JILL,mom,12
3,23,KELLY,mom,8
3,23,KRISTIE RAY,,9
3,23,MACKENZIE,dancer,1
3,23,MADDIE,dancer,2
3,23,MC,,15
3,23,MELISSA,mom,12
3,23,PAIGE,dancer,1
3,23,THEME SONG,,1
3,23,TRIFECTA,,1
3,24,ABBY,instructor,8
3,24,ALLI,,2
3,24,ANNOUNCER 1,,1
3,24,ANNOUNCER 2,,2
3,24,ANNOUNCER 3,,2
3,24,ANNOUNCER 4,,4
3,24,ANNOUNCER 5,,1
3,24,ANTHONY BURRELL,,9
3,24,CATHY,coach,18
